Date,Value (USD per troy ounce)
2018-01-01,1307.01869
2018-01-02,1319.827953
2018-01-03,1311.501862
2018-01-04,1321.635371
2018-01-05,1319.589185
2018-01-06,1319.478806
2018-01-07,1319.426577
2018-01-08,1318.800364
2018-01-09,1311.195502
2018-01-10,1317.395193
2018-01-11,1322.660837
2018-01-12,1337.652891
2018-01-13,1337.652891
2018-01-14,1337.01458
2018-01-15,1341.19089
2018-01-16,1339.960096
2018-01-17,1328.091468
2018-01-18,1327.7199
2018-01-19,1331.532251
2018-01-20,1331.593385
2018-01-21,1334.926345
2018-01-22,1333.419972
2018-01-23,1341.749625
2018-01-24,1357.055738
2018-01-25,1347.356363
2018-01-26,1349.866224
2018-01-27,1349.919342
2018-01-28,1351.250921
2018-01-29,1340.999334
2018-01-30,1338.488123
2018-01-31,1345.297334
2018-02-01,1348.293842
2018-02-02,1333.112586
2018-02-03,1333.208901
2018-02-04,1333.03118
2018-02-05,1339.525585
2018-02-06,1324.943874
2018-02-07,1318.85406
2018-02-08,1321.225566
2018-02-09,1316.286514
2018-02-10,1316.159891
2018-02-11,1316.092521
2018-02-12,1322.725057
2018-02-13,1330.973405
2018-02-14,1352.595608
2018-02-15,1353.461371
2018-02-16,1347.593354
2018-02-17,1347.590022
2018-02-18,1347.945058
2018-02-19,1345.870276
2018-02-20,1329.72963
2018-02-21,1325.605418
2018-02-22,1330.676653
2018-02-23,1329.175049
2018-02-24,1329.327626
2018-02-25,1328.479953
2018-02-26,1332.314099
2018-02-27,1317.734428
2018-02-28,1317.551342
2018-03-01,1316.935413
2018-03-02,1322.475869
2018-03-03,1322.628857
2018-03-04,1322.978819
2018-03-05,1320.664083
2018-03-06,1337.404111
2018-03-07,1324.855447
2018-03-08,1321.316669
2018-03-09,1323.280851
2018-03-10,1323.10135
2018-03-11,1322.978819
2018-03-12,1324.08697
2018-03-13,1326.226857
2018-03-14,1324.804601
2018-03-15,1315.859153
2018-03-16,1313.666506
2018-03-17,1314.000013
2018-03-18,1312.766656
2018-03-19,1317.074659
2018-03-20,1310.520337
2018-03-21,1331.821868
2018-03-22,1331.585514
2018-03-23,1347.210926
2018-03-24,1347.436502
2018-03-25,1348.026826
2018-03-26,1353.078949
2018-03-27,1345.197352
2018-03-28,1325.820826
2018-03-29,1324.662967
2018-03-30,1323.103095
2018-03-31,1322.655098
2018-04-01,1326.462259
2018-04-02,1341.648934
2018-04-03,1333.026912
2018-04-04,1333.262191
2018-04-05,1329.496989
2018-04-06,1333.144052
2018-04-07,1333.271114
2018-04-08,1332.968988
2018-04-09,1336.454201
2018-04-10,1341.08767
2018-04-11,1353.028944
2018-04-12,1337.220911
2018-04-13,1345.388676
2018-04-14,1345.578094
2018-04-15,1343.995699
2018-04-16,1347.160565
2018-04-17,1346.40235
2018-04-18,1350.308932
2018-04-19,1345.19202
2018-04-20,1335.802603
2018-04-21,1336.344563
2018-04-22,1333.217788
2018-04-23,1324.300422
2018-04-24,1331.196649
2018-04-25,1322.866673
2018-04-26,1317.499546
2018-04-27,1323.14926
2018-04-28,1323.223903
2018-04-29,1323.092597
2018-04-30,1315.313429
2018-05-01,1304.871775
2018-05-02,1305.300844
2018-05-03,1312.159802
2018-05-04,1315.13264
2018-05-05,1315.374092
2018-05-06,1314.39725
2018-05-07,1315.177256
2018-05-08,1315.420996
2018-05-09,1312.414717
2018-05-10,1321.069964
2018-05-11,1318.461358
2018-05-12,1318.852335
2018-05-13,1319.774846
2018-05-14,1313.432666
2018-05-15,1298.932068
2018-05-16,1291.326973
2018-05-17,1289.982026
2018-05-18,1292.260439
2018-05-19,1292.640995
2018-05-20,1291.57249
2018-05-21,1292.273431
2018-05-22,1292.991236
2018-05-23,1294.478718
2018-05-24,1304.798911
2018-05-25,1301.033537
