Date,Value (USD per troy ounce)
2018-01-01,930.0305868
2018-01-02,944.3757537
2018-01-03,954.9102731
2018-01-04,960.8645346
2018-01-05,969.1960811
2018-01-06,968.9922481
2018-01-07,968.9922481
2018-01-08,971.6410143
2018-01-09,965.3953709
2018-01-10,970.6211811
2018-01-11,984.2970686
2018-01-12,994.1870631
2018-01-13,994.2371398
2018-01-14,992.9894942
2018-01-15,996.7475806
2018-01-16,999.1441103
2018-01-17,998.3623551
2018-01-18,1001.692781
2018-01-19,1013.095869
2018-01-20,1013.191757
2018-01-21,1014.497164
2018-01-22,997.5633888
2018-01-23,1007.211919
2018-01-24,1014.166868
2018-01-25,1011.762189
2018-01-26,1010.994872
2018-01-27,1012.494178
2018-01-28,1010.989455
2018-01-29,1006.121137
2018-01-30,997.2445812
2018-01-31,1001.236527
2018-02-01,1005.897858
2018-02-02,988.7778319
2018-02-03,991.5814733
2018-02-04,989.9911891
2018-02-05,990.1903997
2018-02-06,991.0501139
2018-02-07,980.6438303
2018-02-08,972.5563061
2018-02-09,964.7450163
2018-02-10,964.9901571
2018-02-11,967.9886165
2018-02-12,970.9384125
2018-02-13,974.967527
2018-02-14,997.8587949
2018-02-15,1001.286047
2018-02-16,1003.735787
2018-02-17,1004.974624
2018-02-18,1004.994824
2018-02-19,1004.532332
2018-02-20,1000.144976
2018-02-21,989.7407306
2018-02-22,995.9848575
2018-02-23,996.8232535
2018-02-24,997.3470568
2018-02-25,994.9753744
2018-02-26,999.7199984
2018-02-27,982.9470979
2018-02-28,983.9933807
2018-03-01,966.9999633
2018-03-02,964.3611795
2018-03-03,966.4917317
2018-03-04,967.9886165
2018-03-05,961.2691554
2018-03-06,969.1449497
2018-03-07,953.1438044
2018-03-08,952.2357736
2018-03-09,965.041772
2018-03-10,965.4839488
2018-03-11,965.1112291
2018-03-12,963.9190142
2018-03-13,963.6177238
2018-03-14,959.9937863
2018-03-15,953.8851363
2018-03-16,946.2325195
2018-03-17,949.4872769
2018-03-18,948.973685
2018-03-19,953.4942962
2018-03-20,942.7400764
2018-03-21,956.9844901
2018-03-22,948.9889004
2018-03-23,948.2465032
2018-03-24,949.4962922
2018-03-25,950.4890266
2018-03-26,952.5217723
2018-03-27,944.7664109
2018-03-28,935.9670737
2018-03-29,929.779423
2018-03-30,929.8702033
2018-03-31,931.7580411
2018-04-01,934.9901359
2018-04-02,931.9937099
2018-04-03,924.6344201
2018-04-04,914.2308696
2018-04-05,911.7427964
2018-04-06,914.3148006
2018-04-07,916.1368342
2018-04-08,920.4967
2018-04-09,932.4977446
2018-04-10,927.8584996
2018-04-11,928.9921096
2018-04-12,927.2089594
2018-04-13,928.9246685
2018-04-14,930.3537205
2018-04-15,930.4922304
2018-04-16,927.4798487
2018-04-17,935.8712615
2018-04-18,938.2856293
2018-04-19,933.4906319
2018-04-20,924.6798171
2018-04-21,926.8699601
2018-04-22,925.4717592
2018-04-23,918.7426109
2018-04-24,928.7406952
2018-04-25,911.4556265
2018-04-26,907.872396
2018-04-27,912.8592697
2018-04-28,914.9884254
2018-04-29,914.1854151
2018-04-30,904.2287429
2018-05-01,892.2415338
2018-05-02,893.5011395
2018-05-03,901.7381615
2018-05-04,908.1156097
