Date,Value (USD per troy ounce)
1/1/2018,16.99377069
1/2/2018,17.1964752
1/3/2018,17.11242594
1/4/2018,17.20033842
1/5/2018,17.22098501
1/6/2018,17.21947792
1/7/2018,17.23854387
1/8/2018,17.11380405
1/9/2018,16.94518142
1/10/2018,16.97741685
1/11/2018,16.99809947
1/12/2018,17.24028901
1/13/2018,17.23443948
1/14/2018,17.22904124
1/15/2018,17.3603006
1/16/2018,17.21052835
1/17/2018,17.02402152
1/18/2018,16.96258409
1/19/2018,17.01546002
1/20/2018,17.02320058
1/21/2018,17.07100042
1/22/2018,17.01398663
1/23/2018,17.0544555
1/24/2018,17.53516009
1/25/2018,17.31302276
1/26/2018,17.40266472
1/27/2018,17.40900401
1/28/2018,17.4264406
1/29/2018,17.17266444
1/30/2018,17.1294637
1/31/2018,17.34567114
2/1/2018,17.21206091
2/2/2018,16.60482868
2/3/2018,16.61074935
2/4/2018,16.64428704
2/5/2018,16.75832865
2/6/2018,16.66130933
2/7/2018,16.39579605
2/8/2018,16.43627699
2/9/2018,16.35429249
2/10/2018,16.35493881
2/11/2018,16.37297372
2/12/2018,16.55445798
2/13/2018,16.59383533
2/14/2018,16.89190114
2/15/2018,16.86814699
2/16/2018,16.6573265
2/17/2018,16.65199487
2/18/2018,16.65149854
2/19/2018,16.6558422
2/20/2018,16.46830224
2/21/2018,16.51859728
2/22/2018,16.60993689
2/23/2018,16.53741783
2/24/2018,16.53812683
2/25/2018,16.52472069
2/26/2018,16.6465201
2/27/2018,16.42311013
2/28/2018,16.40962132
3/1/2018,16.46717655
3/2/2018,16.50158083
3/3/2018,16.50737735
3/4/2018,16.52571471
3/5/2018,16.4383473
3/6/2018,16.76716035
3/7/2018,16.49202602
3/8/2018,16.49190133
3/9/2018,16.59629063
3/10/2018,16.59693602
3/11/2018,16.60377434
3/12/2018,16.53779919
3/13/2018,16.5769176
3/14/2018,16.5419069
3/15/2018,16.39035488
3/16/2018,16.32150463
3/17/2018,16.33227824
3/18/2018,16.3136954
3/19/2018,16.32165618
3/20/2018,16.18863219
3/21/2018,16.54176218
3/22/2018,16.42354488
3/23/2018,16.54772277
3/24/2018,16.56161908
3/25/2018,16.6205778
3/26/2018,16.69531076
3/27/2018,16.52458574
3/28/2018,16.29513355
3/29/2018,16.34576439
3/30/2018,16.34892133
3/31/2018,16.36392318
4/1/2018,16.40020435
4/2/2018,16.59951646
4/3/2018,16.40604193
4/4/2018,16.3043391
4/5/2018,16.39769806
4/6/2018,16.36877389
4/7/2018,16.37918065
4/8/2018,16.41278011
4/9/2018,16.47930709
4/10/2018,16.58096603
4/11/2018,16.66941307
4/12/2018,16.46995568
4/13/2018,16.64079826
4/14/2018,16.65222087
4/15/2018,16.63070139
4/16/2018,16.67080873
4/17/2018,16.76185239
4/18/2018,17.18760796
4/19/2018,17.22968532
4/20/2018,17.12113643
4/21/2018,17.12671008
4/22/2018,17.08622023
4/23/2018,16.60593896
4/24/2018,16.7241215
4/25/2018,16.56175461
4/26/2018,16.52486248
4/27/2018,16.5005534
4/28/2018,16.52715817
4/29/2018,16.52601786
4/30/2018,16.31745609
5/1/2018,16.16342764
5/2/2018,16.37745451
5/3/2018,16.43906364
5/4/2018,16.50978181
5/5/2018,16.52220067
5/6/2018,16.5136539
5/7/2018,16.48411873
5/8/2018,16.47992817
5/9/2018,16.48620214
5/10/2018,16.69595219
5/11/2018,16.65110605
5/12/2018,16.66670278
5/13/2018,16.7002955
5/14/2018,16.51628583
5/15/2018,16.34185035
5/16/2018,16.33760889
5/17/2018,16.42821276
5/18/2018,16.43593627
5/19/2018,16.44391601
5/20/2018,16.44921355
5/21/2018,16.50199313
5/22/2018,16.57593397
5/23/2018,16.45679591
5/24/2018,16.64947534
5/25/2018,16.49391566
5/26/2018,16.5008823
5/27/2018,16.49392986
5/28/2018,16.48236615
5/29/2018,16.39983262
5/30/2018,16.51169052
5/31/2018,16.41003025
6/1/2018,16.38738745
6/2/2018,16.40513868
6/3/2018,16.40454931
6/4/2018,16.39499046
6/5/2018,16.48811044
6/6/2018,16.67163921
6/7/2018,16.70923207
6/8/2018,16.76556824
6/9/2018,16.78039158
6/10/2018,16.76499897
6/11/2018,16.90099623
6/12/2018,16.85231592
6/13/2018,17.01846293
6/14/2018,17.16143649
6/15/2018,16.54308359
6/16/2018,16.55816652
6/17/2018,16.57701266
6/18/2018,16.48655565
6/19/2018,16.30617093
6/20/2018,16.2997122
6/21/2018,16.32234953
6/22/2018,16.44410408
6/23/2018,16.44916078
6/24/2018,16.47900649
6/25/2018,16.31849065
6/26/2018,16.27401258
6/27/2018,16.08108195
6/28/2018,15.99647489
6/29/2018,16.09266761
6/30/2018,16.0990089
7/1/2018,16.11573548
7/2/2018,15.85088971
7/3/2018,16.03007377
7/4/2018,16.07399028
7/5/2018,16.02972785
7/6/2018,16.02160225
7/7/2018,16.03242526
7/8/2018,16.06397059
7/9/2018,16.10164907
7/10/2018,16.0326478
7/11/2018,15.79059813
7/12/2018,15.9297154
7/13/2018,15.80210737
7/14/2018,15.81318431
7/15/2018,15.81710242
7/16/2018,15.77974161
7/17/2018,15.56700206
7/18/2018,15.55246716
7/19/2018,15.30542574
7/20/2018,15.50078039
7/21/2018,15.51571362
7/22/2018,15.53619245
7/23/2018,15.38048033
7/24/2018,15.47447088
7/25/2018,15.60224304
7/26/2018,15.39844553
7/27/2018,15.4834368
7/28/2018,15.57185011
7/29/2018,15.49044011
7/30/2018,15.49716451
7/31/2018,15.51914898
8/1/2018,15.38608767
8/2/2018,15.3119554
8/3/2018,15.40594702
8/4/2018,15.41895339
8/5/2018,15.44045639
8/6/2018,15.29992524
8/7/2018,15.3734272
8/8/2018,15.40933036
8/9/2018,15.42862609
8/10/2018,15.29857241
8/11/2018,15.31189331
8/12/2018,15.32479211
8/13/2018,14.98213569
8/14/2018,15.0138811
8/15/2018,14.54418117
8/16/2018,14.6808544
8/17/2018,14.78524305
8/18/2018,14.79789698
8/19/2018,14.78400058
8/20/2018,14.75093752
8/21/2018,14.76962845
8/22/2018,14.73496283
8/23/2018,14.49282338
8/24/2018,14.80875766
8/25/2018,14.81314038
8/26/2018,14.86272564
8/27/2018,14.88365657
8/28/2018,14.72235856
8/29/2018,14.74981092
8/30/2018,14.56623638
8/31/2018,14.52994834
9/1/2018,14.53497773
9/2/2018,14.52695829
9/3/2018,14.48191854
9/4/2018,14.14003707
9/5/2018,14.18646718
9/6/2018,14.15975653
9/7/2018,14.14395176
9/8/2018,14.16603055
9/9/2018,14.16423774
9/10/2018,14.15686732
9/11/2018,14.11727382
9/12/2018,14.23645907
9/13/2018,14.18045815
9/14/2018,14.0566214
9/15/2018,14.06494686
9/16/2018,14.06322404
9/17/2018,14.11971431
9/18/2018,14.15678812
9/19/2018,14.23361533
9/20/2018,14.31078168
9/21/2018,14.28130214
9/22/2018,14.29700483
9/23/2018,14.27448536
9/24/2018,14.25492554
9/25/2018,14.45426425
9/26/2018,14.35223441
9/27/2018,14.2394459
9/28/2018,14.63063066
9/29/2018,14.64599424
9/30/2018,14.65699803
10/1/2018,14.48627742
10/2/2018,14.71002777
10/3/2018,14.61464145
10/4/2018,14.58063338
10/5/2018,14.6196126
10/6/2018,14.63446402
10/7/2018,14.65099284
10/8/2018,14.38038605
10/9/2018,14.3917781
10/10/2018,14.30827658
10/11/2018,14.5686833
10/12/2018,14.58347843
10/13/2018,14.59977207
10/14/2018,14.62895556
10/15/2018,14.68137628
10/16/2018,14.65313961
10/17/2018,14.61318179
10/18/2018,14.57081289
10/19/2018,14.6204505
10/20/2018,14.63421452
10/21/2018,14.65027916
10/22/2018,14.57949105
10/23/2018,14.74826975
10/24/2018,14.67692804
10/25/2018,14.62953556
10/26/2018,14.67371098
10/27/2018,14.7057753
10/28/2018,14.69947511
10/29/2018,14.47749824
10/30/2018,14.45812275
10/31/2018,14.26259306
11/1/2018,14.74401477
11/2/2018,14.73333953
11/3/2018,14.74353039
11/4/2018,14.75437869
11/5/2018,14.64382198
11/6/2018,14.53960045
11/7/2018,14.56912452
11/8/2018,14.4285478
11/9/2018,14.15599517
11/10/2018,14.15649281
11/11/2018,14.18801561
11/12/2018,14.00505447
11/13/2018,14.0167827
11/14/2018,14.13831278
11/15/2018,14.29132125
11/16/2018,14.41035891
11/17/2018,14.41035891
11/18/2018,14.41673252
11/19/2018,14.42585108
11/20/2018,14.31980395
11/21/2018,14.49083044
11/22/2018,14.49032223
11/23/2018,14.27047959
11/24/2018,14.28576837
11/25/2018,14.30726614
11/26/2018,14.24299972
11/27/2018,14.15091405
